source_layer,source_pos,source_feature,source_type,target_layer,target_pos,target_feature,target_type,original_activation,modified_activation,activation_change,steering_scale,reduction_ratio,target_node_str,steering_nodes_count
0,51,2952,transcoder,10,1,5090,transcoder,17.671863555908203,9.77138900756836,-7.900474548339844,0.0,-0.44706516227591014,"Node(id=21_5090_1, type=transcoder, layer=10, feature=5090, pos=1)",1
0,51,2952,transcoder,5,55,13666,transcoder,0.33196818828582764,0.0,-0.33196818828582764,0.0,-1.0,"Node(id=11_13666_55, type=transcoder, layer=5, feature=13666, pos=55)",1
0,51,2952,transcoder,8,55,7940,transcoder,0.6999607682228088,0.25563907623291016,-0.4443216919898987,0.0,-0.634780850815433,"Node(id=17_7940_55, type=transcoder, layer=8, feature=7940, pos=55)",1
0,51,2952,transcoder,8,8,11854,transcoder,22.290363311767578,20.05851936340332,-2.231843948364258,0.0,-0.10012595654670275,"Node(id=17_11854_8, type=transcoder, layer=8, feature=11854, pos=8)",1
0,51,2952,transcoder,10,55,3280,transcoder,0.24856069684028625,0.0,-0.24856069684028625,0.0,-1.0,"Node(id=21_3280_55, type=transcoder, layer=10, feature=3280, pos=55)",1
0,51,2952,transcoder,14,55,11920,transcoder,0.7073771357536316,0.0,-0.7073771357536316,0.0,-1.0,"Node(id=29_11920_55, type=transcoder, layer=14, feature=11920, pos=55)",1
0,51,2952,transcoder,5,55,16275,lorsa,1.9964919090270996,0.0,-1.9964919090270996,0.0,-1.0,"Node(id=10_16275_55, type=lorsa, layer=5, feature=16275, pos=55)",1
0,51,2952,transcoder,1,51,11218,transcoder,0.6390401721000671,0.0,-0.6390401721000671,0.0,-1.0,"Node(id=3_11218_51, type=transcoder, layer=1, feature=11218, pos=51)",1
0,51,2952,transcoder,2,63,14106,transcoder,1.4190014600753784,1.2646446228027344,-0.15435683727264404,0.0,-0.10877849080186605,"Node(id=5_14106_63, type=transcoder, layer=2, feature=14106, pos=63)",1
0,51,2952,transcoder,10,2,10273,transcoder,24.12562370300293,9.163463592529297,-14.962160110473633,0.0,-0.6201771317775832,"Node(id=21_10273_2, type=transcoder, layer=10, feature=10273, pos=2)",1
0,51,13740,lorsa,2,55,11309,transcoder,0.29157570004463196,0.0,-0.29157570004463196,0.0,-1.0,"Node(id=5_11309_55, type=transcoder, layer=2, feature=11309, pos=55)",1
0,51,13740,lorsa,14,55,1214,transcoder,0.7802796959877014,0.6657558083534241,-0.11452388763427734,0.0,-0.14677286647746174,"Node(id=29_1214_55, type=transcoder, layer=14, feature=1214, pos=55)",1
0,51,13740,lorsa,0,51,3106,transcoder,0.5610666871070862,0.2900710701942444,-0.2709956169128418,0.0,-0.4830007254754711,"Node(id=1_3106_51, type=transcoder, layer=0, feature=3106, pos=51)",1
0,51,13740,lorsa,1,51,11331,transcoder,0.7390512824058533,0.5067070126533508,-0.23234426975250244,0.0,-0.31438179634320634,"Node(id=3_11331_51, type=transcoder, layer=1, feature=11331, pos=51)",1
0,51,13740,lorsa,5,55,13666,transcoder,0.33196818828582764,0.2971459627151489,-0.03482222557067871,0.0,-0.1048962725931331,"Node(id=11_13666_55, type=transcoder, layer=5, feature=13666, pos=55)",1
0,51,13740,lorsa,0,51,2952,transcoder,1.7277238368988037,1.5041389465332031,-0.22358489036560059,0.0,-0.1294100860279422,"Node(id=1_2952_51, type=transcoder, layer=0, feature=2952, pos=51)",1
2,51,5718,transcoder,4,55,9914,transcoder,0.5230033993721008,0.4638965129852295,-0.05910688638687134,0.0,-0.11301434456799507,"Node(id=9_9914_55, type=transcoder, layer=4, feature=9914, pos=55)",1
2,51,5718,transcoder,8,55,2551,lorsa,2.676435947418213,1.8950424194335938,-0.7813935279846191,0.0,-0.29195300890289555,"Node(id=16_2551_55, type=lorsa, layer=8, feature=2551, pos=55)",1
2,51,5718,transcoder,5,55,16275,lorsa,1.9964919090270996,0.0,-1.9964919090270996,0.0,-1.0,"Node(id=10_16275_55, type=lorsa, layer=5, feature=16275, pos=55)",1
1,51,11331,transcoder,14,55,11103,transcoder,0.5930737257003784,0.461979478597641,-0.13109424710273743,0.0,-0.2210420752460823,"Node(id=29_11103_55, type=transcoder, layer=14, feature=11103, pos=55)",1
1,51,11331,transcoder,6,55,7034,transcoder,0.6798377633094788,0.590144693851471,-0.08969306945800781,0.0,-0.13193304976378215,"Node(id=13_7034_55, type=transcoder, layer=6, feature=7034, pos=55)",1
1,51,11331,transcoder,3,55,12235,lorsa,2.4719231128692627,2.087726354598999,-0.38419675827026367,0.0,-0.155424234787105,"Node(id=6_12235_55, type=lorsa, layer=3, feature=12235, pos=55)",1
